創建目錄                          mkdir 名稱
切換到目錄                        cd 名稱
顯示當前目錄路徑                   pwd
將此目錄變成git可以管理的倉庫      git init
添加到倉庫                        git add 檔名
提交到倉庫                        git commit -m "更新了什麼"
查看倉庫狀態                      git status
修改狀態                          git diff 檔名
查看歷史紀錄                      git log
找commit id                      git reflog
回到上一個版本                    git reset --hard HEAD^
回到某版本                        git reset --hard (git log 或 git reflog 找 commit id)
